2025-05-16 23:16:02.371897,DJI Mavic 3 Pro,Oblique,14.0,4.21,1
2025-05-17 00:14:58.839091,DJI Mavic 3 Pro,Nadir,0.9,0.27,1
2025-05-26 02:48:56.399588,DJI Mavic 3 Pro,nadir,6.6,1.99,1
2025-05-29 21:59:10.948343,DJI Mini 4 Pro,nadir,36.1,2.17,2
2025-05-29 22:07:26.007601,DJI Mini 4 Pro,nadir,18.0,2.17,1
2025-05-29 22:10:04.208043,DJI Mini 4 Pro,nadir,18.0,2.17,1
2025-05-29 22:10:04.606259,DJI Mini 4 Pro,nadir,18.0,2.17,1
2025-05-29 22:10:05.908694,DJI Mini 4 Pro,nadir,18.0,2.17,1
2025-05-29 22:10:06.058486,DJI Mini 4 Pro,nadir,18.0,2.17,1
2025-05-29 22:10:31.830736,DJI Mini 4 Pro,nadir,18.0,2.17,1
2025-05-29 22:10:36.076954,DJI Mini 4 Pro,nadir,18.0,2.17,1
2025-05-29 22:10:36.217268,DJI Mini 4 Pro,nadir,18.0,2.17,1
2025-05-29 22:10:36.493263,DJI Mini 4 Pro,nadir,18.0,2.17,1
2025-06-01 04:09:00.449403,DJI Mavic 3 Pro,nadir,13.0,3.89,1
2025-06-01 20:15:44.517155,DJI Mavic 3 Pro,nadir,185.9,55.78,10
2025-06-01 20:15:48.230969,DJI Mavic 3 Pro,nadir,185.9,55.78,10
2025-06-01 20:15:56.638373,DJI Mavic 3 Pro,nadir,185.9,55.78,10
2025-06-01 20:15:56.800601,DJI Mavic 3 Pro,nadir,185.9,55.78,10
